Species,Location,Latitude,Longitude,Observation Date,Count
Greater White-fronted Goose,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,2
Canada Goose,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,20
Trumpeter Swan,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,2
Gadwall,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,50
American Wigeon,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,60
Mallard,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,25
Ring-necked Duck,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,7
Bufflehead,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,10
American Coot,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,100
Western x Glaucous-winged Gull (hybrid),Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,7
Double-crested Cormorant,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,2
Bald Eagle,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,3
American Crow,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 15:27:00,300
Northern Shoveler,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,8
Pied-billed Grebe,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,4
Great Blue Heron,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,2
Belted Kingfisher,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,1
Northern Flicker,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,1
Black-capped Chickadee,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,3
Ruby-crowned Kinglet,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-11-22 12:48:00,1
