Species,Location,Latitude,Longitude,Observation Date
Gadwall,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Mallard,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Greater Scaup,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Lesser Scaup,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Bufflehead,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Anna's Hummingbird,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Short-billed Gull,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Ring-billed Gull,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Glaucous-winged Gull,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Pied-billed Grebe,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Western Grebe,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Great Blue Heron,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Cooper's Hawk,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Bald Eagle,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Downy Woodpecker,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Northern Flicker,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
American Crow,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Black-capped Chickadee,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Bushtit,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Ruby-crowned Kinglet,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
European Starling,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
American Robin,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Cedar Waxwing,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
House Finch,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Pine Siskin,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Song Sparrow,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Spotted Towhee,Magnuson Park,47.6815336,-122.2505453,2024-12-21 14:33:00
Canada Goose,Magnuson Park,47.6815336,-122.2505453,2024-12-21 12:20:00
Northern Shoveler,Magnuson Park,47.6815336,-122.2505453,2024-12-21 12:20:00
Red-tailed Hawk,Magnuson Park,47.6815336,-122.2505453,2024-12-21 12:20:00
Golden-crowned Sparrow,Magnuson Park,47.6815336,-122.2505453,2024-12-21 12:20:00
Chestnut-backed Chickadee,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Golden-crowned Kinglet,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Red-breasted Nuthatch,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Brown Creeper,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Pacific Wren,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Bewick's Wren,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Hermit Thrush,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Dark-eyed Junco,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Yellow-rumped Warbler,Magnuson Park,47.6815336,-122.2505453,2024-12-21 08:34:00
Western x Glaucous-winged Gull (hybrid),Magnuson Park,47.6815336,-122.2505453,2024-12-20 12:02:00
American Goldfinch,Magnuson Park,47.6815336,-122.2505453,2024-12-20 12:02:00
American Wigeon,Magnuson Park,47.6815336,-122.2505453,2024-12-19 15:51:00
Ring-necked Duck,Magnuson Park,47.6815336,-122.2505453,2024-12-19 15:51:00
Common Merganser,Magnuson Park,47.6815336,-122.2505453,2024-12-19 15:51:00
California Gull,Magnuson Park,47.6815336,-122.2505453,2024-12-19 15:51:00
Double-crested Cormorant,Magnuson Park,47.6815336,-122.2505453,2024-12-19 15:51:00
Steller's Jay,Magnuson Park,47.6815336,-122.2505453,2024-12-19 12:01:00
Common Goldeneye,Magnuson Park,47.6815336,-122.2505453,2024-12-19 11:31:00
Hairy Woodpecker,Magnuson Park,47.6815336,-122.2505453,2024-12-19 11:31:00
Fox Sparrow,Magnuson Park,47.6815336,-122.2505453,2024-12-18 13:05:00
Belted Kingfisher,Magnuson Park,47.6815336,-122.2505453,2024-12-18 11:02:00
Red-winged Blackbird,Magnuson Park,47.6815336,-122.2505453,2024-12-15 13:51:00
American Herring Gull,Magnuson Park,47.6815336,-122.2505453,2024-12-15 11:23:00
Purple Finch,Magnuson Park,47.6815336,-122.2505453,2024-12-15 11:23:00
Trumpeter Swan,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Northern Pintail,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Rock Pigeon,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Killdeer,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Wilson's Snipe,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Horned Grebe,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
White-crowned Sparrow,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Lincoln's Sparrow,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Western Meadowlark,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Orange-crowned Warbler,Magnuson Park,47.6815336,-122.2505453,2024-12-15 06:26:00
Hooded Merganser,Magnuson Park,47.6815336,-122.2505453,2024-12-13 10:15:00
American Coot,Magnuson Park,47.6815336,-122.2505453,2024-12-13 10:15:00
Merlin,Magnuson Park,47.6815336,-122.2505453,2024-12-12 10:49:00
Marsh Wren,Magnuson Park,47.6815336,-122.2505453,2024-12-12 10:49:00
Accipitrinae,"Sand Point, Seattle, WA 98115, USA",47.6804289925,-122.25173112,2024-12-19
Bombycilla cedrorum,"Sand Point, Seattle, WA 98115, USA",47.6833527778,-122.2551583333,2024-12-19
Bucephala albeola,"Warren G. Magnuson Park, Seattle, WA, US",47.6771277314,-122.2549953325,2024-12-16
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6770268659,-122.2548542225,2024-12-16
Melospiza melodia,"Warren G. Magnuson Park, Seattle, WA, US",47.6774635185,-122.2523087139,2024-12-16
Mareca strepera,"Warren G. Magnuson Park, Seattle, WA, US",47.6764369546,-122.2546426107,2024-12-16
Regulus satrapa,"Warren G. Magnuson Park, 7400 Sand Point Way NE, Seattle, WA 98115, USA",47.6797687,-122.2536022,2024-12-12
Anas platyrhynchos,"Sand Point, Seattle, WA 98115, USA",47.6797685031,-122.2536022961,2024-12-12
Bucephala albeola,"Sand Point, Seattle, WA 98115, USA",47.6765703539,-122.2544734857,2024-12-11
Branta canadensis,"Sand Point, Seattle, WA 98115, USA",47.6786625829,-122.2595515931,2024-12-11
Sturnus vulgaris,"Warren G. Magnuson Park, Seattle, WA, US",47.6810300031,-122.2526033333,2024-12-09
Astur cooperii,"Warren G. Magnuson Park, Seattle, WA, US",47.6809716731,-122.2508083333,2024-12-09
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6806020884,-122.2470011492,2024-12-09
Mareca americana,"Warren G. Magnuson Park, Seattle, WA, US",47.6803335872,-122.2470027091,2024-12-09
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6803552227,-122.2470802211,2024-12-09
Pipilo maculatus,"Warren G. Magnuson Park, Seattle, WA, US",47.6773422229,-122.2513406317,2024-12-09
Bucephala albeola,"Warren G. Magnuson Park, Seattle, WA, US",47.6766085713,-122.2543717132,2024-12-09
Corthylio calendula,"NE 65th St, Seattle, WA, US",47.6765833333,-122.253695,2024-12-09
Larus delawarensis,"NE Windermere Rd, Seattle, WA, US",47.6805033333,-122.2466116667,2024-12-09
Larus californicus,"NE Windermere Rd, Seattle, WA, US",47.6805033333,-122.2466083333,2024-12-09
Bucephala clangula,"NE Windermere Rd, Seattle, WA, US",47.6805283333,-122.2466283333,2024-12-09
Mareca strepera,"NE Windermere Rd, Seattle, WA, US",47.6805283333,-122.2466133333,2024-12-09
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6778132438,-122.2580616852,2024-12-07
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6775001547,-122.2560123135,2024-12-07
Bucephala albeola,"Warren G. Magnuson Park, Seattle, WA, US",47.676662717,-122.2545426763,2024-12-07
Aythya collaris,"Warren G. Magnuson Park, Seattle, WA, US",47.6773611204,-122.2532743005,2024-12-07
Melospiza melodia,"Warren G. Magnuson Park, Seattle, WA, US",47.6778282275,-122.2529461031,2024-12-07
Corvus brachyrhynchos,"Sand Point, Seattle, WA 98115, USA",47.6802305556,-122.2491861111,2024-12-05
Colaptes auratus,"Sand Point, Seattle, WA 98115, USA",47.6797166667,-122.2543611111,2024-12-05
Poecile atricapillus,"Sand Point Way NE, Seattle, WA, US",47.681812423,-122.2629097262,2024-12-01
Corvus brachyrhynchos,"62nd Ave NE, Seattle, WA, US",47.6791383431,-122.2621083333,2024-12-01
Astur cooperii,"Sand Point, Seattle, WA 98115, USA",47.680182495,-122.2543523088,2024-11-29
Pipilo maculatus,"Warren G. Magnuson Park, Seattle, WA, US",47.6806812132,-122.2503129302,2024-11-26
Zonotrichia atricapilla,"Warren G. Magnuson Park, Seattle, WA, US",47.6809500031,-122.25197,2024-11-26
Dryobates pubescens,"Warren G. Magnuson Park, Seattle, WA, US",47.6810215282,-122.2520908754,2024-11-26
Melospiza georgiana,"Sand Point, Seattle, WA 98115, USA",47.6767381263,-122.2538314977,2024-11-24
Passerella iliaca,"Sand Point, Seattle, WA 98115, USA",47.6768577853,-122.2534367604,2024-11-24
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6766823782,-122.2589874353,2024-11-22
Psaltriparus minimus,"Warren G. Magnuson Park, Seattle, WA, US",47.6803361817,-122.2549571002,2024-11-22
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6795653894,-122.2553257912,2024-11-22
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6741682041,-122.2545654469,2024-11-20
Megaceryle alcyon,"Warren G. Magnuson Park, Seattle, WA, US",47.6766231114,-122.2545202229,2024-11-17
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6761454398,-122.2593761338,2024-11-17
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6767384879,-122.258972274,2024-11-17
Psaltriparus minimus,"Warren G. Magnuson Park, Seattle, WA, US",47.6803063866,-122.254964532,2024-11-17
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.679777177,-122.2484821284,2024-11-17
Junco hyemalis,"Warren G. Magnuson Park, Seattle, WA, US",47.6803968504,-122.2471486574,2024-11-17
Bucephala albeola,"Warren G. Magnuson Park, Seattle, WA, US",47.6765317345,-122.2546053211,2024-11-17
Astur cooperii,"Sand Point, Seattle, WA 98115, USA",47.6761310558,-122.2588954413,2024-11-10
Anas platyrhynchos,"Lake Washington, Seattle, WA, US",47.6767268558,-122.249881438,2024-11-10
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6803245756,-122.2470571608,2024-11-09
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6802250031,-122.2474366667,2024-11-09
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6811921511,-122.2476380038,2024-11-09
Podiceps auritus,"Warren G. Magnuson Park, Seattle, WA, US",47.6825158751,-122.2501369727,2024-11-03
Mergus serrator,"Warren G. Magnuson Park, Seattle, WA, US",47.6827577597,-122.2545963047,2024-11-03
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6803283333,-122.246995,2024-11-06
Psaltriparus minimus,"Warren G. Magnuson Park, Seattle, WA, US",47.6803304465,-122.2549823109,2024-11-06
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6781332449,-122.2586337504,2024-11-06
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6783092531,-122.2596097318,2024-11-05
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6780686256,-122.2590324369,2024-11-05
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6792341667,-122.2491545353,2024-11-02
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6791864257,-122.2491799837,2024-11-02
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6792019738,-122.2491418827,2024-11-02
Haliaeetus leucocephalus,"Washington, US",47.6783821453,-122.2593976191,2024-10-29
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6828800031,-122.2588716667,2024-10-29
Zonotrichia leucophrys,"Sand Point Way NE, Seattle, WA, US",47.6835666731,-122.261405,2024-10-29
Bubo virginianus,"Sand Point, Seattle, WA 98115, USA",47.6748327262,-122.2539925436,2024-10-22
Buteo jamaicensis,"Sand Point, Seattle, WA 98115, USA",47.6777620135,-122.2528873739,2024-10-14
Pandion haliaetus,"Sand Point, Seattle, WA 98115, USA",47.6775293997,-122.2507336,2024-08-30
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6793416419,-122.2489288479,2024-10-15
Columba livia domestica,"Warren G. Magnuson Park, Seattle, WA, US",47.6804482928,-122.246926499,2024-10-15
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6828154665,-122.2525867267,2024-10-15
Psaltriparus minimus,"Warren G. Magnuson Park, Seattle, WA, US",47.6803285492,-122.2551954829,2024-10-15
Branta canadensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6788,-122.24858,2024-10-05
Setophaga coronata,"Sand Point, Seattle, WA 98115, USA",47.6789216207,-122.2544947889,2024-10-13
Catharus guttatus,"Sand Point, Seattle, WA 98115, USA",47.6767237482,-122.2531335399,2024-10-13
Setophaga coronata,"Warren G. Magnuson Park, Seattle, WA, US",47.6823660038,-122.2518530591,2024-10-05
Spinus tristis,"Sand Point, Seattle, WA 98115, USA",47.6774732322,-122.2515795268,2024-10-06
Bubo virginianus,"Sand Point, Seattle, WA 98115, USA",47.6794887,-122.2554554,2024-10-02
Buteo jamaicensis,"Warren G. Magnuson Park, Seattle, WA, US",47.6769045692,-122.2519492426,2024-09-24
Pandion haliaetus,"Warren G. Magnuson Park, Seattle, WA, US",47.6790866667,-122.2586533333,2024-09-04
Anas platyrhynchos,Seattle,47.6833496094,-122.2459716797,2024-09-07
Pandion haliaetus,"Warren G. Magnuson Park, Seattle, WA, US",47.679695,-122.258355,2024-09-02
Butorides virescens,"Sand Point, Seattle, WA 98115, USA",47.6773806,-122.25154733,2024-08-31
Calypte anna,"Sand Point, Seattle, WA 98115, USA",47.6775963927,-122.2567728775,2024-08-29
Pandion haliaetus,"Sand Point, Seattle, WA 98115, USA",47.6795238884,-122.2572041445,2024-08-29
Branta canadensis,"Sand Point, Seattle, WA 98115, USA",47.6799057566,-122.2479033399,2024-08-29
Aix sponsa,"Sand Point, Seattle, WA 98115, USA",47.6773540184,-122.2532493084,2024-08-29
Pandion haliaetus,"Warren G. Magnuson Park, 7400 Sand Point Way NE, Seattle, WA 98115, USA",47.6797687,-122.2536022,2024-08-28
Aix sponsa,"Warren G. Magnuson Park, 7400 Sand Point Way NE, Seattle, WA 98115, USA",47.6797687,-122.2536022,2024-08-28
Corvus brachyrhynchos,"Sand Point, Seattle, WA 98115, USA",47.6830001642,-122.2585082399,2024-08-22
Spinus tristis,"Sand Point, Seattle, WA 98115, USA",47.6831238978,-122.2587239429,2024-08-22
Pandion haliaetus,"Sand Point, Seattle, WA 98115, USA",47.6793250098,-122.2581960177,2024-08-15
Psaltriparus minimus,"Sand Point, Seattle, WA 98115, USA",47.6774432314,-122.2556420529,2024-08-15
Larus californicus,"Seattle, WA, USA",47.6783502429,-122.247309495,2024-08-15
Ardea herodias,"Sand Point, Seattle, WA 98115, USA",47.6774053987,-122.2536421026,2024-08-15
Podilymbus podiceps,"Sand Point, Seattle, WA 98115, USA",47.6774003258,-122.2539657135,2024-08-15
Corvus brachyrhynchos,"Sand Point, Seattle, WA 98115, USA",47.6772961733,-122.2559789403,2024-08-15
Branta canadensis,"Sand Point, Seattle, WA 98115, USA",47.6777298601,-122.2574257537,2024-08-15
Phasianidae,"Sand Point, Seattle, WA 98115, USA",47.685092,-122.253591,2024-08-15
Pandion haliaetus carolinensis,"Sand Point, Seattle, WA 98115, USA",47.6799944444,-122.2596805556,2024-08-15
Calypte anna,"Warren G. Magnuson Park, Seattle, WA, US",47.6826583431,-122.2579883333,2024-08-14
Zonotrichia leucophrys,"Warren G. Magnuson Park, Seattle, WA, US",47.6833187566,-122.2583061321,2024-08-14
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6778916667,-122.2524716667,2024-08-13
Poecile atricapillus,"Warren G. Magnuson Park, Seattle, WA, US",47.6847216667,-122.2479116667,2024-08-13
Pandion haliaetus,"Warren G. Magnuson Park, Seattle, WA, US",47.6847216667,-122.2479116667,2024-08-13
Corvus brachyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6826666731,-122.258125,2024-08-11
Pandion haliaetus,"Warren G. Magnuson Park, Seattle, WA, US",47.679403926,-122.2583687253,2024-08-11
Anas platyrhynchos,"Warren G. Magnuson Park, Seattle, WA, US",47.6808916731,-122.2466966667,2024-08-10
Pandion haliaetus,"Sand Point, Seattle, WA 98115, USA",47.6795653487,-122.2583095662,2024-08-08
Passeriformes,"Sand Point, Seattle, WA 98115, USA",47.6806699575,-122.2534047689,2024-08-08
Aves,"Sand Point, Seattle, WA 98115, USA",47.6778171916,-122.2525027476,2024-08-08
Anas platyrhynchos,"Sand Point, Seattle, WA 98115, USA",47.6778111644,-122.252550127,2024-08-08
Calypte anna,"Sand Point, Seattle, WA 98115, USA",47.6774824844,-122.2531229226,2024-08-08
Geothlypis trichas,"Sand Point, Seattle, WA 98115, USA",47.68029669,-122.25414875,2024-08-08
Aix sponsa,"Warren G. Magnuson Park, Seattle, WA, US",47.6769966667,-122.2536866667,2024-08-05
Spinus tristis,"Warren G. Magnuson Park, Seattle, WA, US",47.67773,-122.2529833333,2024-08-05
Dryobates pubescens,"Warren G. Magnuson Park, Seattle, WA, US",47.6774666667,-122.2530366667,2024-08-05
Haemorhous mexicanus,"Warren G. Magnuson Park, Seattle, WA, US",47.6803866667,-122.254295,2024-08-05
Junco hyemalis,"Warren G. Magnuson Park, Seattle, WA, US",47.682605,-122.2519216667,2024-08-05
Pandion haliaetus,"Sand Point, Seattle, WA 98115, USA",47.6763982069,-122.2555918247,2024-08-05
Calypte anna,"Warren G. Magnuson Park, Seattle, WA, US",47.6811533333,-122.2533716667,2024-05-04
