Species,Location,Latitude,Longitude,Observation Date
Trumpeter Swan,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Wood Duck,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Mallard,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Green-winged Teal,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Ring-necked Duck,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Bufflehead,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Anna's Hummingbird,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
American Coot,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Killdeer,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Wilson's Snipe,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Double-crested Cormorant,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Great Blue Heron,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Bald Eagle,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Downy Woodpecker,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Black-capped Chickadee,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Chestnut-backed Chickadee,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Golden-crowned Kinglet,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Pacific Wren,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
American Robin,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Dark-eyed Junco,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
White-throated Sparrow,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Song Sparrow,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Spotted Towhee,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Red-winged Blackbird,Juanita Bay Park,47.6981686,-122.2101878,2024-12-21 15:07:00
Gadwall,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 16:09:00
Pied-billed Grebe,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 16:09:00
American Crow,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 16:09:00
Brown Creeper,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 16:09:00
American Wigeon,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 11:54:00
Common Merganser,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 11:54:00
Pileated Woodpecker,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 11:54:00
Ruby-crowned Kinglet,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 11:54:00
Pine Siskin,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 11:54:00
American Goldfinch,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 11:54:00
Canada Goose,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 09:10:00
Short-billed Gull,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 09:10:00
Red-tailed Hawk,Juanita Bay Park,47.6981686,-122.2101878,2024-12-20 09:10:00
