Species,Location,Latitude,Longitude,Observation Date
Bufflehead,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Pied-billed Grebe,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Double-crested Cormorant,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Bald Eagle,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Northern Flicker,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
American Crow,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Ruby-crowned Kinglet,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
American Robin,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Fox Sparrow,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
White-crowned Sparrow,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Golden-crowned Sparrow,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Song Sparrow,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Spotted Towhee,Marymoor Park,47.662576,-122.12052,2024-12-20 14:32:00
Canada Goose,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Belted Kingfisher,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Downy Woodpecker,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Hairy Woodpecker,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Black-capped Chickadee,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Golden-crowned Kinglet,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
House Finch,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Dark-eyed Junco,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Red-winged Blackbird,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Yellow-rumped Warbler,Marymoor Park,47.662576,-122.12052,2024-12-20 14:26:00
Common Merganser,Marymoor Park,47.662576,-122.12052,2024-12-20 13:41:00
Great Blue Heron,Marymoor Park,47.662576,-122.12052,2024-12-20 13:41:00
Chestnut-backed Chickadee,Marymoor Park,47.662576,-122.12052,2024-12-20 13:41:00
Red-breasted Nuthatch,Marymoor Park,47.662576,-122.12052,2024-12-20 13:41:00
Brown Creeper,Marymoor Park,47.662576,-122.12052,2024-12-20 13:41:00
Bewick's Wren,Marymoor Park,47.662576,-122.12052,2024-12-20 13:41:00
Gadwall,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
American Wigeon,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Mallard,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Anna's Hummingbird,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Short-billed Gull,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Glaucous-winged Gull,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Red-tailed Hawk,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Pileated Woodpecker,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Northern Shrike,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Steller's Jay,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Pacific Wren,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Marsh Wren,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
European Starling,Marymoor Park,47.662576,-122.12052,2024-12-20 08:57:00
Rock Pigeon,Marymoor Park,47.662576,-122.12052,2024-12-20 08:38:00
Bushtit,Marymoor Park,47.662576,-122.12052,2024-12-20 08:38:00
Pine Siskin,Marymoor Park,47.662576,-122.12052,2024-12-20 08:38:00
