Species,Location,Latitude,Longitude,Observation Date
Belted Kingfisher,"Broadview, Seattle, WA, USA",47.7118643222,-122.3797838597,2024-12-08
Steller's Jay,"North Beach/Blue Ridge, Seattle, WA, USA",47.7075146239,-122.3745059837,2024-12-15
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.707192833,-122.3771166494,2024-12-15
Northern Flicker,"North Beach/Blue Ridge, Seattle, WA, USA",47.7071950994,-122.3771555996,2024-12-15
American Crow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7082282164,-122.3786160146,2024-12-15
Anna's Hummingbird,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081406923,-122.3778791605,2024-12-15
Varied Thrush,"North Beach/Blue Ridge, Seattle, WA, USA",47.7075231278,-122.3744652437,2024-12-15
Great Blue Heron,"Seattle, WA, USA",47.7128210756,-122.3804266881,2024-12-10
Mallard,"Northwest Seattle, Seattle, WA, US",47.7088466667,-122.380525,2024-12-06
Bufflehead,"Seattle, WA, USA",47.7109657,-122.3809688,2024-12-07
Spotted Towhee,"North Beach/Blue Ridge, Seattle, WA, USA",47.7046893317,-122.377298673,2024-12-08
Northern Flicker,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081433559,-122.3772183627,2024-12-08
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081188662,-122.3772063731,2024-12-08
American Crow,"North Beach-Blue Ridge, Seattle, WA, US",47.7119166667,-122.3803116667,2024-12-06
American Crow,"Broadview, Seattle, WA, USA",47.712485,-122.378538,2024-12-05
Short-billed Gull,"Carkeek Park, Seattle, WA, US",47.7116783333,-122.377105,2024-12-06
Common Goldeneye,"Seattle, WA, USA",47.7134724153,-122.3812038493,2024-11-27
Strix varia,"Carkeek Park, Seattle, WA, US",47.7091333333,-122.3742,2024-12-05
Dark-eyed Junco,"Carkeek Park, Seattle, WA, US",47.7116383333,-122.37928,2024-12-01
Golden-crowned Kinglet,"Carkeek Park, Seattle, WA, US",47.7116283333,-122.3769383333,2024-12-01
Yellow-rumped Warbler,"North Beach/Blue Ridge, Seattle, WA, USA",47.7082849085,-122.3776401387,2024-12-01
Pine Siskin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7084201191,-122.3772968159,2024-12-01
Northern Flicker,"North Beach/Blue Ridge, Seattle, WA, USA",47.7083674686,-122.3773017818,2024-12-01
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7082843207,-122.376833146,2024-12-01
Mallard,"Broadview, Seattle, WA, USA",47.7116666667,-122.3767805556,2024-11-29
Golden-crowned Kinglet,"Broadview, Seattle, WA, USA",47.7126583333,-122.3783222222,2024-11-29
Glaucous-winged Gull,"Carkeek Park, Seattle, WA, US",47.7129343686,-122.3781273436,2024-11-28
Mallard,"Broadview, Seattle, WA, USA",47.7115282653,-122.376220252,2024-11-28
American Crow,"Broadview, Seattle, WA, USA",47.7118290907,-122.3779753427,2024-11-28
Western Grebe,"Seattle, WA, USA",47.7124736217,-122.3806817604,2024-11-28
American Dipper,"Broadview, Seattle, WA, USA",47.7112669722,-122.3720409722,2024-11-25
Golden-crowned Kinglet,"Broadview, Seattle, WA, USA",47.7119234997,-122.3795717997,2024-11-25
Bald Eagle,"Seattle, WA 98177, USA",47.7113069722,-122.3799669722,2024-11-25
American Crow,"Carkeek Park, Seattle, WA, US",47.7128666667,-122.3786866667,2024-11-27
Corthylio calendula,"Carkeek Park, Seattle, WA, US",47.7119186998,-122.3781775356,2024-11-23
Spotted Towhee,"North Beach/Blue Ridge, Seattle, WA, USA",47.7060512103,-122.3779397771,2024-11-24
Golden-crowned Sparrow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7060378751,-122.3780059215,2024-11-24
Black-capped Chickadee,"North Beach/Blue Ridge, Seattle, WA, USA",47.7083383137,-122.3770716189,2024-11-24
Dark-eyed Junco,"North Beach/Blue Ridge, Seattle, WA, USA",47.7083375044,-122.3770957311,2024-11-24
Great Blue Heron,"Carkeek Park, Seattle, WA, US",47.7118959162,-122.3779779902,2024-11-24
Mallard,"Carkeek Park, Seattle, WA, US",47.7121064673,-122.3788482976,2024-11-24
Pine Siskin,"North Beach/Blue Ridge, Seattle, WA, USA",47.706034452,-122.3720415959,2024-11-23
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7072236102,-122.3759021597,2024-11-23
Song Sparrow,"Broadview, Seattle, WA, USA",47.7123915906,-122.3794584386,2024-11-21
Nannopterum auritum,"Seattle, WA, USA",47.7145379948,-122.3798581261,2024-11-21
Black-capped Chickadee,"Broadview, Seattle, WA, USA",47.7114516499,-122.3777728168,2024-11-21
Mallard,"Broadview, Seattle, WA, USA",47.7114155547,-122.376607392,2024-11-21
American Crow,"Broadview, Seattle, WA, USA",47.7110473813,-122.3729956321,2024-11-21
Glaucous-winged Gull,"Seattle, WA, USA",47.7103364243,-122.3806414727,2024-11-20
Mallard,"Broadview, Seattle, WA, USA",47.7113302427,-122.3757179172,2024-11-20
American Crow,"Broadview, Seattle, WA, USA",47.7132183333,-122.3783866667,2024-11-10
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7073744948,-122.3760511316,2024-11-17
Northern Flicker,"North Beach/Blue Ridge, Seattle, WA, USA",47.7075469281,-122.3750056261,2024-11-17
Great Blue Heron,"Broadview, Seattle, WA, USA",47.7101942246,-122.3746589275,2024-11-13
Brown Creeper,"Broadview, Seattle, WA, USA",47.7101942246,-122.3746589275,2024-11-13
Dark-eyed Junco,"Broadview, Seattle, WA, USA",47.7101942246,-122.3746589275,2024-11-13
Great Blue Heron,"Broadview, Seattle, WA, USA",47.7106614644,-122.3699246719,2024-11-10
Glaucous-winged Gull,"Broadview, Seattle, WA, USA",47.7126568483,-122.3782978579,2024-11-10
Mareca americana,"Seattle, WA, USA",47.7119268331,-122.38013383,2024-11-10
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7087488305,-122.3768101992,2024-11-10
