Species,Location,Latitude,Longitude,Observation Date
Spatula clypeata,"Issaquah, WA, USA",47.5587602245,-122.0656127744,2024-12-08
Corthylio calendula,"Issaquah, WA, USA",47.5589919098,-122.0657844357,2024-12-08
Megaceryle alcyon,"Issaquah, WA, USA",47.5586443815,-122.0659560971,2024-12-08
Branta canadensis,"194th Ave SE, Issaquah, WA, US",47.5591444142,-122.0650344438,2024-12-08
Charadrius vociferus,"Issaquah, WA, USA",47.5577861111,-122.0640333333,2024-11-30
Accipiter striatus,"Issaquah, WA, USA",47.5612998029,-122.0653420549,2024-11-24
Anas platyrhynchos,"Issaquah, WA, USA",47.5619665163,-122.0651613532,2024-11-24
Corthylio calendula,"Issaquah, WA, USA",47.5610569451,-122.0643017361,2024-11-24
Fulica americana,"Issaquah, WA, USA",47.5617691612,-122.0646949696,2024-11-24
Podilymbus podiceps,"Issaquah, WA, USA",47.5594144608,-122.0659051823,2024-11-24
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5601146531,-122.0648550576,2024-11-24
Larus californicus,"Issaquah, WA, USA",47.55836,-122.0660466667,2024-11-26
Larus glaucescens × occidentalis,"Issaquah, WA, USA",47.55836,-122.0660466667,2024-11-26
Larus brachyrhynchus,"Issaquah, WA, USA",47.5586083333,-122.0657133333,2024-11-26
Larus delawarensis,"Issaquah, WA, USA",47.55860833,-122.06571333,2024-11-26
Sturnella neglecta,"Issaquah, WA, USA",47.55863659,-122.06545835,2024-11-26
Accipiter striatus,"Issaquah, WA, USA",47.5618516667,-122.0652283333,2024-11-26
Spinus pinus,"Issaquah, WA, USA",47.5617266667,-122.0650333333,2024-11-26
Aix sponsa,"Issaquah, WA, USA",47.5611366667,-122.0640883333,2024-11-26
Branta hutchinsii minima,"Issaquah, WA, USA",47.558575,-122.063885,2024-11-26
Podiceps auritus,"Issaquah, WA, USA",47.5641478,-122.05545553,2024-11-26
Zonotrichia atricapilla,"Issaquah, WA, USA",47.565315,-122.0541516667,2024-11-26
Melospiza melodia,"Providence Point, Issaquah, WA 98029, USA",47.56751944,-122.05501667,2024-11-26
Haliaeetus leucocephalus,"Lake Sammamish State Park, Issaquah, WA, US",47.5595515571,-122.0649534717,2024-03-16
Anas platyrhynchos,"Lake Sammamish, Issaquah, WA, US",47.5587916667,-122.0659416667,2024-11-10
Fulica americana,"Lake Sammamish, Issaquah, WA, US",47.5619966667,-122.065575,2024-11-10
Mergus merganser,"Issaquah, WA, USA",47.5648611706,-122.0554535564,2024-11-10
Lophodytes cucullatus,"Issaquah, WA, USA",47.5650947522,-122.0558707877,2024-11-10
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5674382425,-122.0565363757,2024-11-10
Aechmophorus occidentalis,"Issaquah, WA, USA",47.56448383,-122.0556884326,2024-11-10
Regulus satrapa,"Issaquah, WA, USA",47.5592806315,-122.0627306172,2024-11-10
Podiceps grisegena,"Issaquah, WA, USA",47.564435452,-122.0644723249,2024-11-10
Bucephala albeola,"Issaquah, WA, USA",47.5629975579,-122.0646932473,2024-11-10
Thryomanes bewickii,"Issaquah, WA, USA",47.5619281041,-122.0643284669,2024-11-10
Nannopterum auritum,"Issaquah, WA, USA",47.5585815481,-122.0676499331,2024-11-10
Branta canadensis,"Issaquah, WA, USA",47.5585236264,-122.0661389517,2024-11-10
Mareca strepera,"Issaquah, WA, USA",47.5581978158,-122.0673405814,2024-11-10
Larus californicus,"Issaquah, WA, USA",47.558892876,-122.0662784012,2024-11-10
Podiceps auritus,"Issaquah, WA, USA",47.5598020047,-122.0658920479,2024-11-10
Corvus brachyrhynchos,"Issaquah, WA, USA",47.5578311324,-122.0628450083,2024-11-10
Larus delawarensis,"Issaquah, WA, USA",47.5585334377,-122.0655487739,2024-11-10
Larus glaucescens × occidentalis,"Issaquah, WA, USA",47.5586239403,-122.0653020106,2024-11-10
Branta hutchinsii,"Issaquah, WA, USA",47.5586529011,-122.0639879257,2024-11-10
Ardea herodias,"Issaquah, WA, USA",47.5595844959,-122.0650806732,2024-11-03
Sturnus vulgaris,"Issaquah, WA, USA",47.556879358,-122.0668963533,2024-11-03
Anas platyrhynchos domesticus,"Issaquah, WA, USA",47.5598821935,-122.0656480179,2024-11-03
Larus glaucescens × occidentalis,"Issaquah, WA, USA",47.5598677135,-122.0666350708,2024-11-03
Mergus merganser,"Issaquah, WA, USA",47.5593551397,-122.0657333567,2024-11-03
Mareca americana,"Issaquah, WA, USA",47.558477535,-122.0672351364,2024-11-03
Larus californicus,"Lake Sammamish State Park, Issaquah, WA, US",47.5586343129,-122.0659810691,2024-08-03
Cyanocitta stelleri,"Issaquah, WA, USA",47.5580426051,-122.0647237453,2024-10-12
Larus delawarensis,"Issaquah, WA, USA",47.558959593,-122.0668895269,2024-10-12
Anser albifrons,"Issaquah, WA, USA",47.558888271,-122.0639608671,2024-10-12
Butorides virescens,"Issaquah, WA, USA",47.5604224997,-122.064882804,2024-09-08
Anas,"King County, US-WA, US",47.5581970215,-122.0629882813,2024-10-21
Aechmophorus occidentalis,"Issaquah, WA, USA",47.5594742822,-122.0670290154,2024-10-12
Anser albifrons,Issaquah,47.5575866699,-122.0647659302,2024-10-15
Buteoninae,Issaquah,47.5585632324,-122.0643157959,2024-10-14
Larus glaucescens × occidentalis,"Lake Sammamish State Park, 2010 NW Sammamish Rd, Issaquah, WA 98027, USA",47.5584317,-122.0588751,2024-10-12
Anas platyrhynchos,"Lake Sammamish State Park, Issaquah, WA, US",47.558841361,-122.0657533443,2024-10-12
Bubo virginianus,"E Lake Sammamish Pkwy SE, Issaquah, WA, US",47.5642775772,-122.0477456907,2024-10-12
Astur cooperii,"Issaquah, WA, USA",47.5521204393,-122.0597996672,2024-10-05
