Species,Location,Latitude,Longitude,Observation Date
Western x Glaucous-winged Gull (hybrid),Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Iceland Gull,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
White-crowned Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
White-throated Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Great Horned Owl,Discovery Park,47.663868,-122.4215317,2024-12-15 07:12:00
Wilson's Snipe,Discovery Park,47.663868,-122.4215317,2024-12-15 07:00:00
Hooded Merganser,Discovery Park,47.663868,-122.4215317,2024-12-08 14:59:00
Pigeon Guillemot,Discovery Park,47.663868,-122.4215317,2024-12-08 14:59:00
Golden-crowned Kinglet,"Discovery Park, Seattle, WA, US",47.6628350847,-122.4139017873,2024-12-15
Barred Owl,"Discovery Park, Seattle, WA, US",47.6657338721,-122.4169826553,2024-12-15
Red-breasted Sapsucker,"Lawton Park, Seattle, WA, US",47.6655466667,-122.4128583333,2024-12-17
Brown Creeper,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-15
Bewick's Wren,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-15
Pacific Wren,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-15
Cooper's Hawk,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-19
House Finch,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-19
American Robin,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-19
Bewick's Wren,"Lawton Park, Seattle, WA 98199, USA",47.6591916667,-122.4260694444,2024-12-10
Bald Eagle,"Lawton Park, Seattle, WA 98199, USA",47.6584972222,-122.4256611111,2024-12-10
Pileated Woodpecker,"Lawton Park, Seattle, WA 98199, USA",47.6602252063,-122.4288088828,2024-12-10
Golden-crowned Kinglet,"Discovery Park, Seattle, WA 98199, USA",47.6656272222,-122.4193847222,2024-12-09
Brown Creeper,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-12-08
Western x Glaucous-winged Gull (hybrid),"Lawton Park, Seattle, WA 98199, USA",47.6620139728,-122.424604183,2024-12-06
Pelagic Cormorant,"Lawton Park, Seattle, WA 98199, USA",47.6620139728,-122.424604183,2024-12-06
Horned Grebe,"Lawton Park, Seattle, WA 98199, USA",47.6620139728,-122.424604183,2024-12-06
Townsend's Warbler,"Lawton Park, Seattle, WA 98199, USA",47.6620139728,-122.424604183,2024-12-06
House Finch,"Lawton Park, Seattle, WA 98199, USA",47.6606078185,-122.4315831857,2024-11-28
Ruby-crowned Kinglet,"Discovery Park, Seattle, WA, US",47.6639133333,-122.420905,2024-12-01
Pine Siskin,"Discovery Park, Seattle, WA, US",47.6644116667,-122.4212383333,2024-12-01
Red-breasted Merganser,"Discovery Park, Seattle, WA, US",47.6668083333,-122.4218033333,2024-12-01
Red-necked Grebe,"Discovery Park, Seattle, WA, US",47.6668083333,-122.4218033333,2024-12-01
Bufflehead,"N Beach Trail, Seattle, WA, US",47.6669716667,-122.42312,2024-12-01
Common Goldeneye,"N Beach Trail, Seattle, WA, US",47.6662033333,-122.4238333333,2024-12-01
Brandt's Cormorant,"N Beach Trail, Seattle, WA, US",47.6662033333,-122.4238333333,2024-12-01
Western Gull,"N Beach Trail, Seattle, WA, US",47.6662033333,-122.4238333333,2024-12-01
Western Gull,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-29
American Wigeon,"Lawton Park, Seattle, WA 98199, USA",47.6633429435,-122.4292005367,2024-11-29
American Herring Gull,"N Beach Trail, Seattle, WA, US",47.664455,-122.426845,2024-12-01
Red-throated Loon,"N Beach Trail, Seattle, WA, US",47.6624783333,-122.434005,2024-12-01
Downy Woodpecker,"Discovery Park, Seattle, WA, US",47.6622352219,-122.423039496,2024-11-30
Red-breasted Nuthatch,"Discovery Park, Seattle, WA, US",47.6639897999,-122.4226695386,2024-11-30
Western x Glaucous-winged Gull (hybrid),"Discovery Park Blvd, Seattle, WA, US",47.6642866603,-122.4248049376,2024-11-23
Yellow-rumped Warbler,"Lawton Park, Seattle, WA 98199, USA",47.6618284199,-122.43413556,2024-11-29
Northern Flicker (hybrid),"Lawton Park, Seattle, WA 98199, USA",47.66191513,-122.4345057,2024-11-29
Cooper's Hawk,"N Beach Trail, Seattle, WA, US",47.6639533333,-122.427955,2024-11-23
Red-necked Grebe,"N Beach Trail, Seattle, WA, US",47.6639583333,-122.4279633333,2024-11-23
Bufflehead,"N Beach Trail, Seattle, WA, US",47.6639633333,-122.4279633333,2024-11-23
Western Gull,"N Beach Trail, Seattle, WA, US",47.6624716667,-122.4338383333,2024-11-23
Bonaparte's Gull,"N Beach Trail, Seattle, WA, US",47.662475,-122.4338383333,2024-11-23
Dark-eyed Junco,"Discovery Park Beach, Fort Lawton Beach, 122.434422, Seattle, WA 98199, USA",47.6606166667,-122.4303222222,2024-11-13
White-crowned Sparrow,"Lawton Park, Seattle, WA 98199, USA",47.6605694444,-122.4179083333,2024-11-22
Red-necked Grebe,"Discovery Park, Seattle, WA 98199, USA",47.66132,-122.417141,2024-11-10
Pileated Woodpecker,"Lawton Park, Seattle, WA 98199, USA",47.6658416667,-122.4102138889,2024-11-10
Northern Saw-whet Owl,"Lawton Park, Seattle, WA 98199, USA",47.6608695845,-122.4196545624,2024-11-09
Golden-crowned Kinglet,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-02
Fox Sparrow,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-02
Pacific Wren,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-02
Pileated Woodpecker,"Discovery Park, Seattle, WA, US",47.6611579325,-122.4175785262,2024-08-18
Snow Bunting,"Bernie Whitebear Way, Seattle, WA, US",47.6662366667,-122.4167166667,2024-10-30
White-throated Sparrow,"Lawton Park, Seattle, WA 98199, USA",47.6560799795,-122.4166554695,2024-10-21
White-crowned Sparrow,"Lawton Park, Seattle, WA 98199, USA",47.6561318407,-122.4167198429,2024-10-21
Steller's Jay,"Lawton Park, Seattle, WA 98199, USA",47.6585520383,-122.4237154706,2024-10-21
Hutton's Vireo,"King County, US-WA, US",47.661283004,-122.4280823292,2024-10-21
Western Gull,"Lawton Park, Seattle, WA 98199, USA",47.6634003881,-122.4266847403,2024-10-21
Northern Flicker,"Lawton Park, Seattle, WA 98199, USA",47.6637864212,-122.4213682833,2024-10-21
